390,0.04498,0.031943
391,0.045045,0.031945
392,0.04511,0.031878
393,0.04517,0.031762
394,0.04523,0.031631
395,0.045295,0.031512
396,0.04536,0.031425
397,0.04542,0.031376
398,0.04548,0.031363
399,0.045545,0.031358
400,0.04561,0.03133
401,0.045671,0.031273
402,0.04573,0.031193
403,0.04579,0.031107
404,0.04585,0.031034
405,0.04591,0.030967
406,0.04597,0.030891
407,0.04603,0.0308
408,0.04609,0.030692
409,0.046149,0.030573
410,0.04621,0.030453
411,0.046276,0.030341
412,0.04634,0.030249
413,0.046395,0.030176
414,0.04645,0.030119
415,0.046515,0.030073
416,0.04658,0.030033
417,0.046635,0.029996
418,0.04669,0.029953
419,0.046754,0.029896
420,0.04682,0.029821
421,0.046881,0.029731
422,0.04694,0.029631
423,0.046999,0.029527
424,0.04706,0.029428
425,0.047121,0.029345
426,0.04718,0.029286
427,0.047234,0.029247
428,0.04729,0.029223
429,0.047354,0.02921
430,0.04742,0.029202
431,0.047481,0.029191
432,0.04754,0.029176
433,0.0476,0.029167
434,0.04766,0.029173
435,0.04772,0.029202
436,0.04778,0.029253
437,0.04784,0.029324
438,0.0479,0.029408
439,0.04796,0.029484
440,0.04802,0.029532
441,0.04808,0.029544
442,0.04814,0.029548
443,0.0482,0.029576
444,0.04826,0.029644
445,0.04832,0.029725
446,0.04838,0.02979
447,0.04844,0.029824
448,0.0485,0.029846
449,0.04856,0.029878
450,0.04862,0.029932
451,0.04868,0.02999
452,0.04874,0.030033
453,0.048799,0.030065
454,0.04886,0.030099
455,0.048925,0.030135
456,0.04899,0.030162
457,0.049051,0.030182
458,0.04911,0.030205
459,0.04917,0.030241
460,0.04923,0.030305
461,0.04929,0.030387
462,0.04935,0.030468
463,0.04941,0.030545
464,0.04947,0.030624
465,0.04953,0.03071
466,0.04959,0.030802
467,0.04965,0.030902
468,0.04971,0.03101
469,0.04977,0.03112
470,0.04983,0.031226
471,0.049889,0.031325
472,0.04995,0.031413
473,0.050016,0.031495
474,0.05008,0.031577
475,0.050135,0.031652
476,0.05019,0.031712
477,0.050254,0.031762
478,0.05032,0.031815
479,0.050381,0.031875
480,0.05044,0.031939
481,0.050501,0.032008
482,0.05056,0.032083
483,0.050615,0.032155
484,0.05068,0.032205
485,0.050771,0.032233
486,0.0509,0.032249
487,0.051075,0.032259
488,0.05129,0.032264
489,0.051539,0.032274
490,0.05182,0.032302
491,0.052134,0.03235
492,0.05249,0.032414
493,0.052892,0.032488
494,0.05331,0.032567
495,0.053719,0.032642
496,0.05415,0.032701
497,0.054639,0.032749
498,0.05519,0.0328
499,0.055803,0.032856
500,0.0565,0.032916
501,0.057305,0.032976
502,0.05822,0.033034
503,0.059231,0.033086
504,0.06029,0.033127
505,0.061388,0.033157
506,0.0627,0.033186
507,0.064355,0.033218
508,0.06611,0.033259
509,0.067706,0.033309
510,0.06919,0.033363
511,0.070705,0.033423
512,0.07247,0.033495
513,0.074615,0.033576
514,0.07685,0.033663
515,0.07886,0.033758
516,0.08065,0.033867
517,0.082332,0.033983
518,0.08413,0.03409
519,0.086189,0.034184
520,0.08822,0.034273
521,0.089927,0.034362
522,0.09143,0.034459
523,0.092907,0.034565
524,0.09435,0.034678
525,0.095732,0.034793
526,0.09713,0.034906
527,0.098576,0.035018
528,0.09981,0.035131
529,0.10062,0.035241
530,0.10126,0.035338
531,0.10201,0.035427
532,0.10271,0.035521
533,0.10315,0.035627
534,0.10343,0.035749
535,0.10371,0.035874
536,0.10405,0.035984
537,0.10444,0.036087
538,0.10477,0.036205
539,0.10494,0.036348
540,0.10496,0.036512
541,0.1049,0.036677
542,0.10487,0.036815
543,0.10494,0.036932
544,0.10506,0.037055
545,0.10513,0.037192
546,0.10511,0.037339
547,0.105,0.037492
548,0.10487,0.037642
